STATION_ID,MMP_SITE_NAME,LONGITUDE,LATITUDE,LOGGER_SERIAL,SAMPLE_DAY,CHL_QA_AVG,NTU_QA_AVG
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,1958,2015-05-27,1.121,5.682
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,1958,2015-05-28,0.983,5.115
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,1958,2015-05-29,1.13,4.309
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,1958,2015-05-30,1.086,3.834
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,1958,2015-05-31,0.983,3.327
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,1958,2015-06-01,0.848,2.286
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-01,1.075,1.929
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-02,1.013,2.484
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-03,1.346,5.619
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-04,1.487,3.984
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-05,1.338,2.915
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-06,1.08,3.548
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-07,0.948,6.258
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-08,0.85,5.376
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-09,0.902,5.434
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-10,0.916,5.536
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-11,0.939,9.931
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-12,0.783,12.556
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-13,0.785,9.764
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-14,1.034,4.718
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-15,1.213,4.783
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-16,1.223,4.178
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-17,0.924,2.876
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-18,0.642,1.805
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-19,0.544,1.295
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-20,0.839,3.671
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-21,1.091,8.343
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-22,1.079,9.401
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-23,0.834,8.38
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-24,0.881,4.045
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-25,0.676,2.25
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-26,0.565,2.028
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-27,0.78,4.572
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-28,0.79,5.689
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-29,0.751,9.824
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-06-30,0.741,8.985
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-01,0.95,4.607
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-02,1.161,3.777
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-03,1.216,3.442
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-04,1.162,4.782
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-05,1.159,4.861
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-06,1.071,3.16
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-07,0.834,1.883
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-08,0.878,2.617
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-09,1.125,5.356
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-10,1.142,4.572
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-11,1.136,3.068
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-12,0.965,1.633
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-13,0.653,0.916
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-14,0.636,0.816
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-15,0.421,0.764
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-16,0.277,0.599
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-17,0.326,0.563
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-18,0.61,2.153
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-19,0.864,3.7
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-20,0.641,3.198
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-21,0.509,3.365
